bucket_5min,action,action_group,metric,before_mean,after_mean,delta,delta_ratio,before_bucket_count,after_bucket_count,window_status,product_family_context,confidence
2026-02-12 18:10:00,PRIORITIZE_DISCHARGE,A3,a3_to_amr_wait_p90_recent,6325.360874999999,3980.6847166666666,-2344.6761583333328,-0.3706786386845214,12,12,ok,MIXED_OR_NONE,High
2026-02-12 18:10:00,PRIORITIZE_DISCHARGE,A3,a3_to_c2_wait_p90_recent,0.0,0.0,0.0,,12,12,ok,MIXED_OR_NONE,High
2026-02-12 18:10:00,PRIORITIZE_DISCHARGE,A3,buffer_wip,11.166666666666666,12.0,0.8333333333333339,0.07462686567164185,12,12,ok,MIXED_OR_NONE,High
2026-02-12 18:15:00,PRIORITIZE_DISCHARGE,A3,a3_to_amr_wait_p90_recent,6978.6557,3325.660391666667,-3652.9953083333335,-0.5234525767381436,12,12,ok,MIXED_OR_NONE,High
2026-02-12 18:15:00,PRIORITIZE_DISCHARGE,A3,a3_to_c2_wait_p90_recent,0.0,0.0,0.0,,12,12,ok,MIXED_OR_NONE,High
2026-02-12 18:15:00,PRIORITIZE_DISCHARGE,A3,buffer_wip,11.333333333333334,12.0,0.6666666666666661,0.05882352941176465,12,12,ok,MIXED_OR_NONE,High
2026-02-12 18:20:00,PRIORITIZE_DISCHARGE,A3,a3_to_amr_wait_p90_recent,7631.950525,2791.659741666667,-4840.290783333334,-0.6342141196379589,12,12,ok,MIXED_OR_NONE,High
2026-02-12 18:20:00,PRIORITIZE_DISCHARGE,A3,a3_to_c2_wait_p90_recent,0.0,0.0,0.0,,12,12,ok,MIXED_OR_NONE,High
2026-02-12 18:20:00,PRIORITIZE_DISCHARGE,A3,buffer_wip,11.416666666666666,12.0,0.5833333333333339,0.05109489051094896,12,12,ok,MIXED_OR_NONE,High
2026-02-12 18:25:00,PRIORITIZE_DISCHARGE,A3,a3_to_amr_wait_p90_recent,7593.339675,2257.659091666667,-5335.680583333333,-0.7026790334298239,12,12,ok,MIXED_OR_NONE,High
2026-02-12 18:25:00,PRIORITIZE_DISCHARGE,A3,a3_to_c2_wait_p90_recent,0.0,0.0,0.0,,12,12,ok,MIXED_OR_NONE,High
2026-02-12 18:25:00,PRIORITIZE_DISCHARGE,A3,buffer_wip,11.5,11.833333333333334,0.3333333333333339,0.028985507246376864,12,12,ok,MIXED_OR_NONE,High
2026-02-12 18:30:00,PRIORITIZE_DISCHARGE,A3,a3_to_amr_wait_p90_recent,7491.297491666667,1723.6584416666667,-5767.639050000001,-0.769911895291294,12,12,ok,MIXED_OR_NONE,High
2026-02-12 18:30:00,PRIORITIZE_DISCHARGE,A3,a3_to_c2_wait_p90_recent,0.0,0.0,0.0,,12,12,ok,MIXED_OR_NONE,High
2026-02-12 18:30:00,PRIORITIZE_DISCHARGE,A3,buffer_wip,11.583333333333334,11.666666666666666,0.08333333333333215,0.007194244604316444,12,12,ok,MIXED_OR_NONE,High
2026-02-12 18:35:00,PRIORITIZE_DISCHARGE,A3,a3_to_amr_wait_p90_recent,7389.255308333336,2147.202625,-5242.052683333336,-0.7094155587534697,12,12,ok,MIXED_OR_NONE,High
2026-02-12 18:35:00,PRIORITIZE_DISCHARGE,A3,a3_to_c2_wait_p90_recent,0.0,0.0,0.0,,12,12,ok,MIXED_OR_NONE,High
2026-02-12 18:35:00,PRIORITIZE_DISCHARGE,A3,buffer_wip,11.666666666666666,11.5,-0.16666666666666607,-0.014285714285714235,12,12,ok,MIXED_OR_NONE,High
2026-02-12 18:40:00,PRIORITIZE_DISCHARGE,A3,a3_to_amr_wait_p90_recent,7287.213125000002,2570.7468083333333,-4716.466316666669,-0.6472249728069628,12,12,ok,MIXED_OR_NONE,High
2026-02-12 18:40:00,PRIORITIZE_DISCHARGE,A3,a3_to_c2_wait_p90_recent,0.0,0.0,0.0,,12,12,ok,MIXED_OR_NONE,High
2026-02-12 18:40:00,PRIORITIZE_DISCHARGE,A3,buffer_wip,11.583333333333334,11.25,-0.3333333333333339,-0.028776978417266237,12,12,ok,MIXED_OR_NONE,High
2026-02-12 18:45:00,PRIORITIZE_DISCHARGE,A3,a3_to_amr_wait_p90_recent,7185.17094166667,2919.501166666667,-4265.669775000003,-0.5936768672076352,12,12,ok,MIXED_OR_NONE,High
2026-02-12 18:45:00,PRIORITIZE_DISCHARGE,A3,a3_to_c2_wait_p90_recent,0.0,0.0,0.0,,12,12,ok,MIXED_OR_NONE,High
2026-02-12 18:45:00,PRIORITIZE_DISCHARGE,A3,buffer_wip,11.666666666666666,11.0,-0.6666666666666661,-0.05714285714285709,12,12,ok,MIXED_OR_NONE,High
2026-02-12 19:35:00,PRIORITIZE_DISCHARGE,A3,a3_to_amr_wait_p90_recent,1723.6584416666667,11280.284666666666,9556.626225,5.54438512525681,12,12,ok,MIXED_OR_NONE,High
2026-02-12 19:35:00,PRIORITIZE_DISCHARGE,A3,a3_to_c2_wait_p90_recent,0.0,4405.8275,4405.8275,,12,12,ok,MIXED_OR_NONE,High
2026-02-12 19:35:00,PRIORITIZE_DISCHARGE,A3,buffer_wip,11.666666666666666,8.583333333333334,-3.083333333333332,-0.2642857142857142,12,12,ok,MIXED_OR_NONE,High
2026-02-12 19:40:00,PRIORITIZE_DISCHARGE,A3,a3_to_amr_wait_p90_recent,2147.202625,11175.158000000001,9027.955375000001,4.204519531546308,12,12,ok,MIXED_OR_NONE,High
2026-02-12 19:40:00,PRIORITIZE_DISCHARGE,A3,a3_to_c2_wait_p90_recent,0.0,5286.993000000001,5286.993000000001,,12,12,ok,MIXED_OR_NONE,High
2026-02-12 19:40:00,PRIORITIZE_DISCHARGE,A3,buffer_wip,11.5,8.583333333333334,-2.916666666666666,-0.25362318840579706,12,12,ok,MIXED_OR_NONE,High
2026-02-12 19:45:00,PRIORITIZE_DISCHARGE,A3,a3_to_amr_wait_p90_recent,2570.7468083333333,10228.125833333334,7657.379025,2.978659353063413,12,12,ok,MIXED_OR_NONE,High
2026-02-12 19:45:00,PRIORITIZE_DISCHARGE,A3,a3_to_c2_wait_p90_recent,0.0,6168.158500000001,6168.158500000001,,12,12,ok,MIXED_OR_NONE,High
2026-02-12 19:45:00,PRIORITIZE_DISCHARGE,A3,buffer_wip,11.25,8.583333333333334,-2.666666666666666,-0.237037037037037,12,12,ok,MIXED_OR_NONE,High
2026-02-12 19:50:00,PRIORITIZE_DISCHARGE,A3,a3_to_amr_wait_p90_recent,2919.501166666667,9281.093666666666,6361.592499999999,2.178999814294759,12,12,ok,MIXED_OR_NONE,High
