event_time,area,source_table,PRD_SRL_NO,PRD_CD,CMP_EQ_ID,STRG_CD,SLOT_NM,delta,wip
2026-03-11 18:17:23.507,BUFFER,strg_buf_in,PRD1000-260311027-0002,PRD1000,EQ05,SR03,1,1,47
2026-03-11 18:24:26.532,BUFFER,strg_buf_in,PRD1000-260311027-0001,PRD1000,EQ05,SR03,1,1,48
2026-03-11 18:34:02.209,BUFFER,strg_buf_in,PRD3001-260311029-0001,PRD3001,EQ05,SR03,1,1,49
2026-03-11 18:35:03.728,BUFFER,strg_buf_in,PRD1000-260311031-0002,PRD1000,EQ05,SR03,2,1,50
2026-03-11 18:36:00.920,BUFFER,strg_buf_in,PRD3002-260311030-0001,PRD3002,EQ05,SR03,4,1,51
2026-03-11 18:36:54.637,BUFFER,strg_buf_out,PRD1000-260311027-0001,PRD1000,EQ05,SR04,0,-1,50
2026-03-11 18:37:06.709,BUFFER,strg_buf_out,PRD1000-260311031-0002,PRD1000,EQ05,SR04,0,-1,49
2026-03-11 18:41:12.738,BUFFER,strg_buf_in,PRD2000-260311028-0001,PRD2000,EQ05,SR03,2,1,50
2026-03-11 18:42:10.072,BUFFER,strg_buf_in,PRD3001-260311029-0002,PRD3001,EQ05,SR03,5,1,51
2026-03-11 18:43:13.683,BUFFER,strg_buf_out,PRD2000-260311028-0001,PRD2000,EQ05,SR04,0,-1,50
2026-03-11 18:47:11.264,BUFFER,strg_buf_in,PRD2000-260311032-0002,PRD2000,EQ05,SR03,2,1,51
2026-03-11 18:48:47.812,BUFFER,strg_buf_out,PRD2000-260311032-0002,PRD2000,EQ05,SR04,0,-1,50
2026-03-11 18:52:46.187,BUFFER,strg_buf_in,PRD1000-260311031-0001,PRD1000,EQ05,SR03,2,1,51
2026-03-11 18:53:52.917,BUFFER,strg_buf_out,PRD1000-260311031-0001,PRD1000,EQ05,SR04,0,-1,50
2026-03-11 19:15:21.635,BUFFER,strg_buf_out,PRD2000-260311024-0001,PRD2000,EQ05,SR04,0,-1,49
2026-03-12 15:58:09.060,BUFFER,strg_buf_in,PRD2000-260312002-0001,PRD2000,EQ05,SR03,1,1,50
2026-03-12 16:23:16.416,BUFFER,strg_buf_in,PRD3001-260312005-0001,PRD3001,EQ05,SR03,2,1,51
2026-03-12 16:29:21.245,BUFFER,strg_buf_in,PRD3002-260312006-0002,PRD3002,EQ05,SR03,3,1,52
2026-03-12 16:35:34.802,BUFFER,strg_buf_in,PRD3002-260312006-0001,PRD3002,EQ05,SR03,4,1,53
2026-03-12 16:53:34.200,BUFFER,strg_buf_in,PRD1000-260312003-0002,PRD1000,EQ05,SR03,1,1,54
2026-03-12 16:59:20.054,BUFFER,strg_buf_in,PRD1000-260312003-0001,PRD1000,EQ05,SR03,1,1,55
2026-03-12 17:05:51.576,BUFFER,strg_buf_in,PRD1000-260312008-0001,PRD1000,EQ05,SR03,1,1,56
2026-03-12 17:11:25.932,BUFFER,strg_buf_in,PRD2000-260312004-0001,PRD2000,EQ05,SR03,1,1,57
2026-03-12 17:16:34.356,BUFFER,strg_buf_in,PRD2000-260312004-0002,PRD2000,EQ05,SR03,1,1,58
2026-03-12 17:22:35.357,BUFFER,strg_buf_in,PRD3002-260312009-0001,PRD3002,EQ05,SR03,1,1,59
2026-03-12 17:28:32.129,BUFFER,strg_buf_out,PRD3002-260312009-0001,PRD3002,EQ05,SR04,0,-1,58
2026-03-12 17:28:43.003,BUFFER,strg_buf_out,PRD3001-260312005-0001,PRD3001,EQ05,SR04,0,-1,57
2026-03-16 12:09:26.026,BUFFER,strg_buf_in,PRD2000-260316002-0001,PRD2000,EQ05,SR03,8,1,58
2026-03-16 12:17:26.909,BUFFER,strg_buf_in,PRD2000-260316001-0001,PRD2000,EQ05,SR03,1,1,59
2026-03-16 16:03:24.764,BUFFER,strg_buf_out,PRD2000-260316002-0001,PRD2000,EQ05,SR04,0,-1,58
2026-03-16 16:39:03.055,BUFFER,strg_buf_in,PRD2000-260316005-0001,PRD2000,EQ05,SR03,1,1,59
2026-03-25 16:51:54.478,BUFFER,strg_buf_in,PRD2000-260325005-0001,PRD2000,EQ05,SR03,1,1,60
2026-03-25 16:56:09.353,BUFFER,strg_buf_in,PRD1000-260325004-0001,PRD1000,EQ05,SR03,2,1,61
2026-03-25 16:57:21.699,BUFFER,strg_buf_out,PRD1000-260325004-0001,PRD1000,EQ05,SR04,0,-1,60
2026-03-30 16:43:34.936,BUFFER,strg_buf_in,PRD3002-260330002-0002,PRD3002,EQ05,SR03,1,1,61
2026-03-30 16:48:44.660,BUFFER,strg_buf_in,PRD3002-260330002-0001,PRD3002,EQ05,SR03,2,1,62
2026-03-30 16:57:51.035,BUFFER,strg_buf_in,PRD1000-260330001-0001,PRD1000,EQ05,SR03,3,1,63
2026-03-30 17:01:42.991,BUFFER,strg_buf_in,PRD1000-260330001-0002,PRD1000,EQ05,SR03,4,1,64
2026-03-30 17:03:56.803,BUFFER,strg_buf_in,PRD3001-260330003-0003,PRD3001,EQ05,SR03,5,1,65
2026-03-30 17:06:10.680,BUFFER,strg_buf_in,PRD2000-260330004-0001,PRD2000,EQ05,SR03,6,1,66
2026-03-30 17:09:04.265,BUFFER,strg_buf_in,PRD3001-260330003-0001,PRD3001,EQ05,SR03,7,1,67
2026-03-30 17:17:25.639,BUFFER,strg_buf_in,PRD2000-260330004-0002,PRD2000,EQ05,SR03,8,1,68
2026-03-30 17:22:03.403,BUFFER,strg_buf_in,PRD3001-260330003-0002,PRD3001,EQ05,SR03,9,1,69
2026-03-30 18:05:04.387,BUFFER,strg_buf_in,PRD2000-260330006-0001,PRD2000,EQ05,SR03,1,1,70
2026-03-30 18:05:59.483,BUFFER,strg_buf_in,PRD3001-260330007-0001,PRD3001,EQ05,SR03,2,1,71
2026-03-30 18:09:33.002,BUFFER,strg_buf_in,PRD1000-260330005-0001,PRD1000,EQ05,SR03,3,1,72
2026-03-30 19:55:41.311,BUFFER,strg_buf_in,PRD3001-260330008-0001,PRD3001,EQ05,SR03,1,1,73
2026-03-31 17:16:01.270,BUFFER,strg_buf_in,PRD2000-260331010-0001,PRD2000,EQ05,SR03,1,1,74
2026-04-07 17:25:28.361,BUFFER,strg_buf_in,PRD3001-260407007-0001,PRD3001,EQ05,SR03,3,1,75
2026-04-07 17:30:44.459,BUFFER,strg_buf_in,PRD3001-260407008-0001,PRD3001,EQ05,SR03,2,1,76
2026-04-14 16:27:54.546,BUFFER,strg_buf_in,PRD1000-260414002-0001,PRD1000,EQ05,SR03,1,1,77
2026-04-14 16:33:11.433,BUFFER,strg_buf_in,PRD3001-260414003-0001,PRD3001,EQ05,SR03,2,1,78
2026-04-14 16:59:10.981,BUFFER,strg_buf_in,PRD3001-260414004-0001,PRD3001,EQ05,SR03,3,1,79
2026-04-14 17:28:06.782,BUFFER,strg_buf_in,PRD1000-260414005-0001,PRD1000,EQ05,SR03,4,1,80
2026-04-14 17:49:24.990,BUFFER,strg_buf_in,PRD1000-260414008-0001,PRD1000,EQ05,SR03,5,1,81
2026-04-14 22:37:08.754,BUFFER,strg_buf_out,PRD1000-260414002-0001,PRD1000,EQ05,SR04,0,-1,80
2026-04-16 14:36:49.567,BUFFER,strg_buf_in,PRD1000-260416001-0001,PRD1000,EQ05,SR03,1,1,81
